-Laemmli Sample Buffer (Bio-Rad 161-0737),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0737
-10X Tris/Glycine/SDS premixed buffer (Bio-Rad 161-0732),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0732
-Tris-HCl Ready Gels, 12-well, 4-15% linear gradient (Bio-Rad 161-1176),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-1176
-Precision Plus Protein Kaleidoscope Standards, ~10-250 kD, 500 µl, denatured (Bio-Rad 161-0375),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0375
-Gel Drying Solution (Bio-Rad 161-0752) or 20% ethanol, 10% glycerol),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0752
-ß-mercaptoethanol (Bio-Rad 161-0710),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0710
Ready Gel Tris-HCl Precast Gels (BioRad , 4-20%, 10-well, 50µl, Cat# 161-1159),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-1159
Precision protein Standard western C (BioRad, Cat# 161-0385),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0385
SDS-PAGE running buffer, diluted from 10x Tris/Glycine/SDS (BioRad, Cat# 161-0732),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0732
Electrophorese Transfer Buffer: 800ml of 1x solution diluted from 10x Tris/Glycine (BioRad, Cat# 161-0734) + 200ml of Methanol, pH 8.0,http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=161-0734
Immun-Star™ WesternC™ Chemiluminescence Kit (BioRad, #170-5070),http://www.bio-rad.com/prd/en/US/adirect/biorad?cmd=catProductDetail&isFromSearch=true&productID=170-5070
